NIA,nota_acces,ordre_assignacio,orientacio,aspectes_eleccio,estudis_pare,estudis_mare,ocupacio_pare,ocupacio_mare,edad,diferencia_anys,renta_media_disponible,tipus_centre_secundaria,H,D,via_acces_PAU,via_acces_CFGS,via_acces_altres_vies,juny,setembre,altres_convocatories,mati,tarda,treball_remunerat,assignatura,nota_numerica,nota_alfa
1389371,6.44,1,5,7,6,6,9,9,18,0,57027.0,2.0,0.0,1.0,True,False,False,0.0,1.0,0.0,1.0,0.0,2,Emp,4.0,0
1389371,6.44,1,5,7,6,6,9,9,18,0,57027.0,2.0,0.0,1.0,True,False,False,0.0,1.0,0.0,1.0,0.0,2,Fis,3.0,0
1389371,6.44,1,5,7,6,6,9,9,18,0,57027.0,2.0,0.0,1.0,True,False,False,0.0,1.0,0.0,1.0,0.0,2,Inf,3.4,0
1389371,6.44,1,5,7,6,6,9,9,18,0,57027.0,2.0,0.0,1.0,True,False,False,0.0,1.0,0.0,1.0,0.0,2,Mates,1.5,0
1389371,6.44,1,5,7,6,6,9,9,18,0,57027.0,2.0,0.0,1.0,True,False,False,0.0,1.0,0.0,1.0,0.0,2,Antr,5.0,1
1389371,6.44,1,5,7,6,6,9,9,18,0,57027.0,2.0,0.0,1.0,True,False,False,0.0,1.0,0.0,1.0,0.0,2,Calc,5.6,1
1389371,6.44,1,5,7,6,6,9,9,18,0,57027.0,2.0,0.0,1.0,True,False,False,0.0,1.0,0.0,1.0,0.0,2,EGraf,6.1,1
1389371,6.44,1,5,7,6,6,9,9,18,0,57027.0,2.0,0.0,1.0,True,False,False,0.0,1.0,0.0,1.0,0.0,2,FisEl,6.2,1
1389371,6.44,1,5,7,6,6,9,9,18,0,57027.0,2.0,0.0,1.0,True,False,False,0.0,1.0,0.0,1.0,0.0,2,Quim,4.1,0
1389371,6.44,1,5,7,6,6,9,9,18,0,57027.0,2.0,0.0,1.0,True,False,False,0.0,1.0,0.0,1.0,0.0,2,EMedi,5.8,1
1389799,8.546,1,7,5,6,6,4,2,17,0,22866.0,2.0,1.0,0.0,True,False,False,0.0,1.0,0.0,1.0,0.0,1,Emp,7.7,1
1389799,8.546,1,7,5,6,6,4,2,17,0,22866.0,2.0,1.0,0.0,True,False,False,0.0,1.0,0.0,1.0,0.0,1,Fis,7.1,1
1389799,8.546,1,7,5,6,6,4,2,17,0,22866.0,2.0,1.0,0.0,True,False,False,0.0,1.0,0.0,1.0,0.0,1,Inf,7.0,1
1389799,8.546,1,7,5,6,6,4,2,17,0,22866.0,2.0,1.0,0.0,True,False,False,0.0,1.0,0.0,1.0,0.0,1,Mates,8.2,1
1389799,8.546,1,7,5,6,6,4,2,17,0,22866.0,2.0,1.0,0.0,True,False,False,0.0,1.0,0.0,1.0,0.0,1,Antr,9.0,1
1389799,8.546,1,7,5,6,6,4,2,17,0,22866.0,2.0,1.0,0.0,True,False,False,0.0,1.0,0.0,1.0,0.0,1,Calc,9.0,1
1389799,8.546,1,7,5,6,6,4,2,17,0,22866.0,2.0,1.0,0.0,True,False,False,0.0,1.0,0.0,1.0,0.0,1,EGraf,7.7,1
1389799,8.546,1,7,5,6,6,4,2,17,0,22866.0,2.0,1.0,0.0,True,False,False,0.0,1.0,0.0,1.0,0.0,1,FisEl,7.8,1
1389799,8.546,1,7,5,6,6,4,2,17,0,22866.0,2.0,1.0,0.0,True,False,False,0.0,1.0,0.0,1.0,0.0,1,Quim,7.6,1
1389799,8.546,1,7,5,6,6,4,2,17,0,22866.0,2.0,1.0,0.0,True,False,False,0.0,1.0,0.0,1.0,0.0,1,EMedi,6.7,1
1388922,6.472,1,11,7,6,6,6,6,18,0,26663.0,3.0,0.0,1.0,True,False,False,0.0,1.0,0.0,1.0,0.0,2,Emp,8.1,1
