any_academic,assignatura,codi_assignatura,grup,NIA,pla,tipus,curs,semestre,exhaurides,superada,nota_numerica,nota_alfa
2014,TIC,200284,801,1401882,880,O,2,2,1,S,7.5,NT
2014,TIC,200209,701,1282091,877,P,4,2,1,S,6.8,AP
2014,TIC,200284,801,1336140,880,O,2,2,1,S,5.9,AP
2014,GHuma,200301,701,1243772,880,P,4,1,1,S,9.5,SB
2014,ReMa,200153,801,1377538,878,O,2,2,1,S,7.6,NT
2014,CAE,200257,701,1311840,879,P,4,2,1,S,6.1,AP
2014,Compt,200296,701,1306216,880,P,4,2,1,S,7.1,NT
2014,CAM,200263,701,1313640,879,P,4,2,1,S,6.5,AP
2014,Compt,200296,701,1272403,880,P,4,2,1,S,5.3,AP
2014,CAM,200263,701,1305063,879,P,4,2,1,S,7.5,NT
2014,SIDir,200314,701,1312496,880,P,4,2,1,S,8.0,NT
2014,OTGP,200152,901,1396269,877,O,2,2,1,S,7.0,NT
2014,VBB,200164,201,1396269,877,O,3,2,1,N,0.0,NP
2014,CAE,200257,701,1159003,879,P,4,2,1,S,7.0,NT
2014,CAM,200263,701,1159003,879,P,4,2,1,S,8.0,NT
2014,DisMM,200244,901,1219245,879,O,3,2,1,S,5.0,AP
2014,CAE,200257,701,1307105,879,P,4,2,1,S,5.0,AP
2014,TrDiS,200217,701,1308783,877,P,4,2,1,S,5.0,AP
2014,CTMat,200150,701,1270566,878,O,2,2,2,S,5.1,AP
2014,FETF,200151,701,1270566,878,O,2,2,4,S,7.6,NT
2014,ReMa,200153,701,1270566,878,O,2,2,2,N,3.8,SS
2014,SisEn,200154,701,1270566,878,O,2,2,2,N,1.0,SS
2014,SPrIn,200158,901,1270566,878,O,3,1,1,N,0.0,NP
2014,TCEE,200148,101,1336793,878,O,2,1,3,S,2.6,SS
2014,TeoMM,200149,101,1336793,878,O,2,1,3,S,1.9,SS
2014,SPrIn,200158,801,1336793,878,O,3,1,2,S,4.4,SS
2014,FisEl,200142,801,1401275,879,B,1,2,1,N,0.0,NP
2014,Quim,200143,801,1401275,879,B,1,2,1,N,0.0,NP
2014,EMedi,200144,801,1401275,879,O,1,2,1,N,0.0,NP
2014,GCon,200302,701,1305882,880,P,4,2,1,S,9.0,SB
2014,Compt,200296,701,1307677,880,P,4,2,1,S,7.4,NT
2014,GCon,200302,701,1306093,880,P,4,2,1,S,6.0,AP
2014,CAE,200257,701,1174321,879,P,4,2,1,S,5.6,AP
2014,Emp,200265,801,1401881,880,B,1,1,1,S,7.3,NT
2014,Fis,200266,801,1401881,880,B,1,1,1,S,5.9,AP
2014,Inf,200267,801,1401881,880,B,1,1,1,S,6.2,AP
2014,Mates,200268,801,1401881,880,B,1,1,1,S,6.6,AP
2014,Antr,200269,801,1401881,880,O,1,1,1,S,9.0,SB
2014,Calc,200270,801,1401881,880,B,1,2,1,S,6.2,AP
2014,EGraf,200271,801,1401881,880,B,1,2,1,S,7.0,NT
2014,FisEl,200272,801,1401881,880,B,1,2,1,S,9.2,M
2014,Quim,200273,801,1401881,880,B,1,2,1,S,6.3,AP
2014,EMedi,200274,801,1401881,880,O,1,2,1,S,7.2,NT
2014,Emp,200265,301,1402264,880,B,1,1,2,S,4.0,SS
2014,Inf,200267,301,1402264,880,B,1,1,2,S,3.1,SS
2014,Mates,200268,301,1402264,880,B,1,1,4,S,1.1,SS
2014,Antr,200269,301,1402264,880,O,1,1,1,S,8.0,NT
2014,Calc,200270,301,1402264,880,B,1,2,3,S,3.7,SS
2014,EGraf,200271,301,1402264,880,B,1,2,1,S,7.5,NT
2014,Quim,200273,301,1402264,880,B,1,2,3,S,3.0,SS
2014,EMedi,200274,301,1402264,880,O,1,2,1,S,6.7,AP
2014,Quim,200143,401,2145195,879,B,1,2,1,S,5.0,AP
2014,EMedi,200144,101,2145195,879,O,1,2,1,S,8.4,NT
2014,ReMa,200153,401,2145195,879,O,2,2,2,S,3.7,SS
2014,SPrIn,200158,101,2145195,879,O,3,1,2,S,2.6,SS
2014,MecMC,200241,201,2145195,879,O,3,1,1,S,5.1,AP
2014,CeTra,200167,701,1242307,878,P,4,1,1,S,8.0,NT
2014,EMedi,200144,801,1107410,877,O,1,2,1,S,7.2,NT
2014,ReMa,200153,701,1107410,877,O,2,2,2,N,0.0,NP
2014,DisMM,200244,101,2145195,879,O,3,2,1,S,5.0,AP
2014,EGraf,200271,801,1402922,880,B,1,2,1,S,6.4,AP
2014,FisEl,200272,801,1402922,880,B,1,2,2,S,0.0,NP
2014,Calc,200270,801,1402922,880,B,1,2,2,S,3.6,SS
2014,EMedi,200274,801,1402922,880,O,1,2,1,S,5.7,AP
2014,TCEE,200148,901,1278714,877,O,2,1,2,S,2.5,SS
2014,ReMa,200153,701,1278714,877,O,2,2,3,S,3.6,SS
2014,SisEn,200154,701,1278714,877,O,2,2,1,S,7.0,NT
2014,FETF,200151,901,1105013,878,O,2,2,2,N,0.0,NP
2014,SisEn,200154,701,1105013,878,O,2,2,1,S,5.0,AP
2014,Etcn-MaqE,200157,801,1105013,878,O,3,1,2,N,0.0,NP
2014,RegAu,200159,801,1105013,878,O,3,1,2,N,0.0,SS
2014,Calc,200140,701,1195977,1278,B,1,2,2,N,0.0,NP
2014,FETF,200151,801,1195977,1278,O,2,2,2,S,0.0,NP
2014,ReMa,200153,701,1195977,1278,O,2,2,2,N,0.0,NP
2014,InfIn,200204,701,1195977,1278,O,3,2,2,S,0.0,NP
2014,DEstO,200285,1001,1339135,880,O,3,1,2,S,0.0,NP
2014,DEstO,200285,1001,1330675,880,O,3,1,1,S,5.2,AP
2014,DEstE,200290,1001,1330675,880,O,3,2,1,S,5.7,AP
2014,GQual,200291,1001,1330675,880,O,3,2,1,S,8.0,NT
2014,PTeIn,200293,1101,1330675,880,O,3,2,1,S,6.2,AP
2014,LDPI,200309,701,1330675,880,P,4,1,1,S,6.2,AP
2014,Fis,200136,701,2137654,877,B,1,1,1,N,0.0,NP
2014,Mates,200138,701,2137654,877,B,1,1,1,N,0.0,NP
2014,EGraf,200141,701,2137654,877,B,1,2,1,N,0.0,NP
2014,FisEl,200142,701,2137654,877,B,1,2,1,N,0.0,NP
2014,Quim,200143,801,2137654,877,B,1,2,1,N,0.0,NP
2014,GInno,200299,701,1308492,880,P,4,1,1,S,9.0,SB
2014,EPrPr,200307,701,1305326,880,P,4,1,1,S,10.0,SB
2014,CQual,200253,701,1278204,879,P,4,2,1,S,5.7,AP
2014,CAE,200257,701,1278204,879,P,4,2,1,S,9.0,SB
2014,Mates,200138,801,1401970,879,B,1,1,1,S,8.5,NT
2014,Antr,200139,401,1401970,879,O,1,1,1,S,7.5,NT
2014,Calc,200140,801,1401970,879,B,1,2,1,S,9.0,SB
2014,FisEl,200142,801,1401970,879,B,1,2,1,S,6.4,AP
2014,Quim,200143,801,1401970,879,B,1,2,1,S,7.6,NT
2014,EMedi,200144,801,1401970,879,O,1,2,1,S,8.1,NT
2014,CQual,200253,701,1143362,879,P,4,2,1,S,9.0,SB
2014,LDPI,200309,701,1306216,880,P,4,1,1,S,6.7,AP
2014,CicVi,200251,701,1271529,879,P,4,1,1,N,3.4,SS
2014,Fis,200136,401,1389777,878,B,1,1,2,N,3.0,SS
2014,Mates,200138,401,1389777,878,B,1,1,2,N,1.3,SS
2014,Antr,200139,401,1389777,878,O,1,1,1,S,5.0,AP
2014,Calc,200140,401,1389777,878,B,1,2,2,N,4.5,SS
2014,Quim,200143,401,1389777,878,B,1,2,2,N,3.0,SS
2014,EMedi,200144,401,1389777,878,O,1,2,1,S,5.4,AP
2014,Fis,200136,701,1401971,879,B,1,1,1,S,6.1,AP
2014,Inf,200137,701,1401971,879,B,1,1,1,S,5.1,AP
2014,Antr,200139,701,1401971,879,O,1,1,1,S,7.5,NT
2014,Calc,200140,701,1401971,879,B,1,2,1,S,5.8,AP
2014,FisEl,200142,701,1401971,879,B,1,2,1,S,5.8,AP
2014,Quim,200143,701,1401971,879,B,1,2,1,S,5.8,AP
2014,EMedi,200144,701,1401971,879,O,1,2,1,S,6.9,AP
2014,Emp,200135,701,1396258,1278,B,1,1,1,S,5.7,AP
2014,Fis,200136,401,1396258,1278,B,1,1,1,S,6.6,AP
2014,Inf,200137,401,1396258,1278,B,1,1,1,S,5.2,AP
2014,Mates,200138,401,1396258,1278,B,1,1,2,N,4.5,SS
2014,Antr,200139,401,1396258,1278,O,1,1,1,S,6.5,AP
2014,Calc,200140,401,1396258,1278,B,1,2,2,N,1.7,SS
2014,EGraf,200141,401,1396258,1278,B,1,2,1,S,5.8,AP
2014,FisEl,200142,401,1396258,1278,B,1,2,2,N,2.8,SS
2014,Quim,200143,401,1396258,1278,B,1,2,1,S,5.2,AP
2014,EMedi,200144,401,1396258,1278,O,1,2,1,S,7.4,NT
2014,Antr,200139,401,1400408,878,O,1,1,1,S,8.5,NT
2014,FisEl,200142,101,1400408,878,B,1,2,1,S,8.0,NT
2014,Quim,200143,701,1400408,878,B,1,2,1,S,8.2,NT
2014,AMCI,200146,101,1400408,878,O,2,1,1,S,8.5,NT
2014,TCEE,200148,401,1400408,878,O,2,1,1,S,5.9,AP
2014,TeoMM,200149,201,1400408,878,O,2,1,1,S,5.8,AP
2014,CTMat,200150,501,1400408,878,O,2,2,1,S,7.1,NT
2014,FETF,200151,501,1400408,878,O,2,2,1,S,7.5,NT
2014,ReMa,200153,901,1400408,878,O,2,2,1,S,6.7,AP
2014,SisEn,200154,501,1400408,878,O,2,2,1,S,7.5,NT
2014,Etcn-MaqE,200198,701,1340389,877,O,3,1,1,S,6.7,AP
2014,Etcn-MaqE,200198,701,1270359,877,O,3,1,2,S,1.7,SS
2014,CAE,200257,701,1314865,879,P,4,2,1,S,8.0,NT
2014,CAM,200263,701,1314865,879,P,4,2,1,S,8.0,NT
2014,EGraf,200141,701,1342792,879,B,1,2,2,N,1.0,SS
2014,FisEl,200142,701,1342792,879,B,1,2,2,N,0.0,NP
2014,Quim,200143,901,1342792,879,B,1,2,2,N,0.0,NP
2014,VBB,200164,901,1359222,879,O,3,2,1,S,8.5,NT
2014,Fis,200266,801,1401882,880,B,1,1,1,S,6.0,AP
2014,Inf,200267,801,1401882,880,B,1,1,1,S,6.9,AP
2014,Antr,200269,701,1401882,880,O,1,1,1,S,10.0,SB
2014,Calc,200270,801,1401882,880,B,1,2,1,S,7.2,NT
2014,FisEl,200272,801,1401882,880,B,1,2,1,S,6.4,AP
2014,Quim,200273,801,1401882,880,B,1,2,1,S,7.5,NT
2014,EtiPr,200278,801,1401882,880,O,2,1,1,S,6.0,AP
2014,EEcFi,200282,301,1401882,880,O,2,2,1,S,5.1,AP
2014,Fis,200136,801,1401275,879,B,1,1,1,N,3.0,SS
2014,Inf,200137,801,1401275,879,B,1,1,1,N,0.0,SS
2014,Mates,200138,801,1401275,879,B,1,1,1,N,0.0,NP
2014,Antr,200139,801,1401275,879,O,1,1,1,N,0.0,NP
2014,Calc,200140,801,1401275,879,B,1,2,1,N,0.0,NP
2014,EGraf,200141,801,1401275,879,B,1,2,1,N,0.0,NP
2014,Emp,200135,701,1401897,879,B,1,1,1,S,6.0,AP
2014,Fis,200136,401,1401897,879,B,1,1,2,N,3.0,SS
2014,Inf,200137,401,1401897,879,B,1,1,1,S,5.5,AP
2014,Mates,200138,401,1401897,879,B,1,1,2,S,1.1,SS
2014,Antr,200139,401,1401897,879,O,1,1,1,S,8.0,NT
2014,Calc,200140,401,1401897,879,B,1,2,2,N,1.0,SS
2014,EGraf,200141,401,1401897,879,B,1,2,2,N,3.7,SS
2014,FisEl,200142,401,1401897,879,B,1,2,2,S,1.0,SS
2014,Quim,200143,401,1401897,879,B,1,2,1,S,6.2,AP
2014,EMedi,200144,401,1401897,879,O,1,2,1,S,7.7,NT
2014,Emp,200265,101,1400143,880,B,1,1,1,S,7.9,NT
2014,Fis,200266,101,1400143,880,B,1,1,1,S,6.4,AP
2014,Inf,200267,101,1400143,880,B,1,1,1,S,6.8,AP
2014,Mates,200268,101,1400143,880,B,1,1,1,S,7.4,NT
2014,Antr,200269,101,1400143,880,O,1,1,1,S,10.0,M
2014,Calc,200270,101,1400143,880,B,1,2,1,S,7.5,NT
2014,EGraf,200271,101,1400143,880,B,1,2,1,S,7.2,NT
2014,FisEl,200272,101,1400143,880,B,1,2,1,S,6.6,AP
2014,Quim,200273,101,1400143,880,B,1,2,1,S,6.3,AP
2014,EMedi,200274,101,1400143,880,O,1,2,1,S,7.7,NT
2014,Emp,200135,301,1400033,877,B,1,1,1,N,2.0,SS
2014,Fis,200136,301,1400033,877,B,1,1,1,N,3.0,SS
2014,Inf,200137,301,1400033,877,B,1,1,1,N,1.9,SS
2014,Mates,200138,301,1400033,877,B,1,1,1,S,6.6,AP
2014,Antr,200139,301,1400033,877,O,1,1,1,S,5.5,AP
2014,Calc,200140,301,1400033,877,B,1,2,1,S,8.1,NT
2014,EGraf,200141,301,1400033,877,B,1,2,1,S,5.0,AP
2014,FisEl,200142,301,1400033,877,B,1,2,1,S,6.1,AP
2014,Quim,200143,301,1400033,877,B,1,2,1,S,6.0,AP
2014,EMedi,200144,301,1400033,877,O,1,2,1,N,0.5,SS
2014,Fis,200136,801,1401853,878,B,1,1,1,N,3.0,SS
2014,Mates,200138,801,1401853,878,B,1,1,1,N,0.0,NP
2014,Antr,200139,801,1401853,878,O,1,1,1,S,7.0,NT
2014,Calc,200140,801,1401853,878,B,1,2,1,N,0.0,NP
2014,FisEl,200142,801,1401853,878,B,1,2,1,N,1.5,SS
2014,EMedi,200144,801,1401853,878,O,1,2,1,S,5.8,AP
2014,Emp,200135,301,1401854,878,B,1,1,1,S,5.5,AP
2014,Fis,200136,801,1401854,878,B,1,1,3,N,3.0,SS
2014,Inf,200137,801,1401854,878,B,1,1,1,S,5.0,AP
2014,Mates,200138,301,1401854,878,B,1,1,3,N,1.4,SS
2014,Antr,200139,301,1401854,878,O,1,1,1,S,7.5,NT
2014,Calc,200140,301,1401854,878,B,1,2,3,N,2.5,SS
2014,EGraf,200141,301,1401854,878,B,1,2,3,N,4.0,SS
2014,FisEl,200142,301,1401854,878,B,1,2,1,S,5.8,AP
2014,Quim,200143,301,1401854,878,B,1,2,3,N,3.0,SS
2014,EMedi,200144,301,1401854,878,O,1,2,2,S,4.1,SS
2014,Quim,200143,901,1156130,878,B,1,2,1,N,0.0,NP
2014,EMedi,200144,801,1156130,878,O,1,2,1,N,1.6,SS
2014,AMCI,200146,701,1156130,878,O,2,1,1,N,0.0,NP
2014,ReMa,200153,701,1156130,878,O,2,2,1,N,0.0,NP
