CP,renta_disponible_media
8022,57027.0
17820,22866.0
8301,26663.0
8009,37703.0
8208,24971.0
8980,25600.0
8690,26663.0
8130,26663.0
25007,21307.0
12200,27556.0
8008,48426.0
8035,27142.0
8740,26663.0
25600,21307.0
8025,27556.0
8700,26663.0
8006,41987.0
8172,40161.0
8023,35137.0
8021,64833.0
8392,26663.0
8340,29940.0
8028,29875.0
17003,22866.0
31007,27556.0
8950,28695.0
43530,22067.0
8970,27015.0
8242,26663.0
8349,26663.0
8038,22789.0
8640,26663.0
8320,28800.0
8037,35282.0
8391,26663.0
8328,26663.0
8004,22526.0
8036,35387.0
8017,71746.0
8758,26663.0
8020,22402.0
8014,26905.0
8940,22000.0
8902,23004.0
8830,22542.0
8024,28525.0
8859,26663.0
8225,23105.0
8317,26663.0
8917,21159.0
8960,38837.0
8840,23093.0
8770,25125.0
8901,23597.0
8211,25208.0
8031,23298.0
7500,24114.0
8016,21864.0
8026,25114.0
8191,22814.0
8201,31453.0
17162,22866.0
0,27556.0
8905,18479.0
8206,22497.0
8635,26663.0
8930,26663.0
8110,26663.0
7440,24114.0
25300,21307.0
8904,19472.0
8005,30604.0
17600,22866.0
8719,26663.0
8173,45346.0
8820,22678.0
7014,39505.0
8013,28585.0
8032,23915.0
8042,21384.0
8921,19634.0
8170,26663.0
8184,26663.0
8860,33728.0
8629,26663.0
17220,22866.0
17230,22866.0
8192,32883.0
8029,34166.0
8018,27426.0
31016,27556.0
8197,48556.0
8034,68116.0
8150,26663.0
8195,46418.0
17130,22866.0
12580,27556.0
8205,23906.0
8205,43084.0
8290,26663.0
8916,30877.0
28038,19356.0
8912,26766.0
8105,26663.0
8303,26663.0
8240,26663.0
8420,26663.0
43570,22067.0
43203,22067.0
8291,26663.0
8202,28478.0
8019,30397.0
8019,29157.0
17527,22866.0
8620,22324.0
7819,24114.0
8027,24570.0
8759,24529.0
8221,31390.0
8015,22586.0
8015,29247.0
8181,26663.0
8795,26663.0
8670,26663.0
25737,21307.0
17185,22866.0
8750,26615.0
8292,23230.0
7760,24114.0
8849,26663.0
8911,27826.0
36201,30125.0
8207,20138.0
8800,26663.0
8460,26663.0
8519,26663.0
25713,21307.0
8188,26663.0
8923,26663.0
26520,27556.0
8012,28949.0
8120,26663.0
17430,22866.0
8003,25768.0
8757,27474.0
7702,24114.0
8251,26663.0
7198,22292.0
7190,24114.0
17800,22866.0
36203,26224.0
7120,26679.0
8903,20260.0
17320,22866.0
8810,26663.0
8190,26663.0
43500,22067.0
8907,21443.0
8310,26663.0
43520,22067.0
25655,21307.0
43392,22067.0
7005,21636.0
8850,26663.0
17001,22866.0
17007,22866.0
25001,21307.0
8402,24343.0
17300,22866.0
7300,24114.0
8226,20523.0
8180,26663.0
25749,21307.0
8193,26663.0
43791,22067.0
43850,22067.0
43770,22067.0
8241,26663.0
8735,26663.0
8470,26663.0
8224,23865.0
43365,22067.0
8140,26663.0
8304,26663.0
8198,35187.0
8186,26663.0
8440,26663.0
17520,22866.0
3540,30099.0
25230,21307.0
8107,26663.0
8030,24941.0
8390,26663.0
43700,22067.0
8339,26663.0
25200,21307.0
8210,26663.0
8503,26663.0
8033,18071.0
43420,22067.0
25430,21307.0
22585,27556.0
8769,26663.0
8914,18826.0
43007,22067.0
43391,22067.0
7720,24114.0
8302,26663.0
7013,28377.0
8783,26663.0
8755,26663.0
7871,24114.0
8010,41037.0
25700,21307.0
25199,21307.0
8913,19628.0
8230,41789.0
22480,27556.0
8430,26663.0
43205,22067.0
7669,24114.0
8233,26663.0
8775,26663.0
8410,26663.0
8329,26663.0
8739,26663.0
8350,26663.0
17310,22866.0
8203,24440.0
7817,24114.0
7849,24114.0
8100,26663.0
8756,26663.0
8520,26663.0
43201,22067.0
8189,26663.0
8041,26580.0
8011,31241.0
8222,22105.0
12500,27556.0
3109,27556.0
43001,22067.0
17150,22866.0
7800,24114.0
8906,19545.0
8630,26663.0
43540,22067.0
8915,23395.0
43206,22067.0
7750,24114.0
8214,26663.0
43800,22067.0
1030,27556.0
38111,19530.0
17403,22866.0
7730,24114.0
7701,24114.0
8001,19437.0
43204,22067.0
8530,26663.0
8798,26663.0
8922,26663.0
17830,22866.0
47195,27556.0
8380,26663.0
20008,27556.0
8560,26663.0
8330,26663.0
8870,26663.0
43878,22067.0
17253,22866.0
8791,26663.0
47008,25922.0
17539,22866.0
700,24114.0
25006,21307.0
43003,22067.0
7700,24114.0
43881,22067.0
17257,22866.0
25711,21307.0
8780,26663.0
8754,26663.0
7010,24834.0
8760,26663.0
8174,36604.0
8401,26663.0
8784,26663.0
25005,21307.0
8319,26663.0
43820,22067.0
8589,26663.0
8232,26663.0
8600,26663.0
43891,22067.0
36800,27556.0
8711,26663.0
17165,22866.0
8720,26663.0
8293,26663.0
8480,26663.0
25002,21307.0
21004,27556.0
8551,26663.0
43764,22067.0
17462,22866.0
8348,26663.0
8692,26663.0
43840,22067.0
28902,22538.0
8204,19560.0
500,27556.0
25126,21307.0
22520,27556.0
7820,24114.0
8269,26663.0
8394,26663.0
17160,22866.0
8500,26663.0
20600,27556.0
8734,26663.0
8459,26663.0
8370,26663.0
17251,22866.0
43810,22067.0
8223,21722.0
43002,22067.0
8187,23915.0
