pla,descripció_pla_estudis,codi_grau
1467,Doble Grau en Enginyeria Electrònica Industrial i Automàtica i Enginyeria Mecànica (pla 2020),21112
1278,Doble Grau en Enginyeria Mecànica / Enginyeria Electrònica Industrial i Automàtica (pla 2014),21112
877,Grau en Enginyeria Electrònica Industrial i Automàtica (pla 2009),21025
1464,Grau en Enginyeria Electrònica Industrial i Automàtica (pla 2020),21025
878,Grau en Enginyeria Elèctrica (pla 2009),21023
879,Grau en Enginyeria Mecànica (pla 2009),21026
1462,Grau en Enginyeria Mecànica (pla 2020),21026
1450,Grau en Enginyeria d'Automoció (pla 2020),21132
1430,Grau en Enginyeria en Energies Renovables i Eficiència Energètica (pla 2019),21127
880,Grau en Enginyeria en Organització Industrial (pla 2009),21022
1466,Grau en Enginyeria en Organització Industrial (pla 2020),21022
